,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,availability_30,availability_365,review_scores_accuracy,review_scores_cleanliness,reviews_per_month,place,south,verification_count,email_ver,jumio_ver,phone_ver,host_response_rate%,host_acceptance_rate%,days_as_host,days_since_last_rev,days_since_first_rev,minimum_nights,communication_score
620,within a day,f,3.0,t,t,t,20,355,4.88,4.63,0.15,Bergamo,0,7,1,1,1,100,35,3250,184,1663,5,4.88
1116,within an hour,t,2.0,t,t,t,19,292,4.88,4.94,2.08,Bergamo,0,6,1,1,1,100,100,2053,70,1055,3,4.9350000000000005
1767,within an hour,f,4.0,t,t,t,30,365,5.0,5.0,1.28,Bergamo,0,7,1,1,1,100,44,2797,102,109,1,5.0
199,within an hour,f,1.0,t,f,t,0,304,5.0,5.0,0.18,Bergamo,0,3,1,0,1,100,50,2508,277,1559,1,5.0
1466,within an hour,t,2.0,t,t,t,12,44,4.61,4.94,1.08,Bergamo,0,2,1,0,1,100,100,613,85,564,2,4.805
66,within an hour,t,3.0,t,t,t,0,196,4.96,4.95,2.05,Bergamo,0,9,1,1,1,100,93,3019,83,2920,2,4.97
1369,within an hour,f,0.0,t,t,t,26,337,4.88,5.0,0.62,Bergamo,0,3,1,0,1,100,94,754,123,451,1,4.9399999999999995
138,within a few hours,f,3.0,t,f,t,25,360,4.84,4.88,0.83,Bergamo,0,3,1,0,1,100,69,2703,132,2582,1,4.83
1179,within a few hours,f,0.0,t,f,t,9,126,4.9,5.0,0.72,Bergamo,0,2,1,0,1,100,100,992,108,893,3,4.9
976,within an hour,t,1.0,t,f,t,19,354,4.9,4.7,0.27,Bergamo,0,2,1,0,1,100,100,1204,192,1156,1,4.95
839,within an hour,f,7.0,t,t,t,7,122,5.0,5.0,0.1,Bergamo,0,2,1,0,1,100,100,1367,936,1315,6,5.0
1043,within an hour,t,1.0,t,f,t,22,172,5.0,5.0,0.63,Bergamo,0,5,1,1,1,100,100,1123,194,1110,2,4.975
1429,within an hour,f,7.0,t,t,t,9,128,4.0,4.0,0.23,Bergamo,0,2,1,0,1,100,100,1367,193,193,14,4.0
485,within an hour,f,1.0,t,t,t,0,0,4.6,4.7,0.67,Bergamo,0,6,1,1,1,100,100,1947,535,1936,4,4.705
554,within an hour,f,1.0,t,t,t,0,120,4.96,4.96,0.45,Bergamo,0,8,1,1,1,100,100,1840,1085,1739,3,4.895
325,within a day,t,1.0,t,t,t,21,356,4.97,4.95,0.93,Bergamo,0,5,1,1,1,100,100,2234,177,2164,4,4.965
923,within an hour,t,1.0,t,t,t,26,87,4.97,4.96,3.36,Bergamo,0,8,1,1,1,100,100,2250,82,1249,1,4.9350000000000005
274,within an hour,f,2.0,t,t,t,20,355,5.0,5.0,0.02,Bergamo,0,6,1,1,1,100,100,2393,1369,1369,2,5.0
663,within a few hours,f,4.0,t,t,t,26,361,4.92,4.92,0.25,Bergamo,0,6,1,1,1,100,100,2538,147,1621,4,4.795
816,within an hour,f,3.0,t,f,t,0,205,5.0,5.0,0.02,Bergamo,0,2,1,0,1,100,92,1394,1369,1369,3,5.0
516,within an hour,t,2.0,t,t,t,0,0,4.98,4.99,3.08,Bergamo,0,10,1,1,1,100,100,2198,85,1808,1,4.975
623,within an hour,f,2.0,t,t,t,0,88,4.0,4.0,0.05,Bergamo,0,8,1,1,1,100,100,1719,929,1318,2,4.75
1036,within a few hours,t,2.0,t,t,t,0,0,4.93,4.67,0.77,Bergamo,0,6,1,1,1,100,100,1796,208,1117,1,4.945
1081,within a day,f,1.0,t,t,t,3,211,5.0,5.0,0.18,Bergamo,0,2,1,0,1,100,100,1091,211,739,1,5.0
1263,within an hour,t,3.0,t,t,t,21,313,4.97,5.0,1.29,Bergamo,0,6,1,1,1,100,100,915,64,901,2,5.0
268,within an hour,f,9.0,t,t,t,22,357,5.0,5.0,0.03,Bergamo,0,7,0,1,1,100,28,3830,1022,1022,1,5.0
179,within an hour,f,2.0,t,t,t,27,177,4.54,3.86,0.78,Bergamo,0,6,1,1,1,87,100,2716,123,2069,1,4.800000000000001
1341,within an hour,f,1.0,t,t,t,0,61,4.33,4.33,0.13,Bergamo,0,7,1,1,1,100,100,786,215,753,3,5.0
174,within an hour,f,1.0,t,f,t,0,0,4.92,4.93,1.1,Bergamo,0,2,1,0,1,100,100,1092,113,2381,2,4.9399999999999995
688,within an hour,f,1.0,t,t,t,27,177,5.0,4.83,0.12,Bergamo,0,6,1,1,1,100,0,2211,787,1524,2,5.0
292,within an hour,f,2.0,t,t,t,25,360,4.77,4.74,1.01,Bergamo,0,6,1,1,1,100,100,2757,74,2140,2,4.9350000000000005
15,within a day,f,1.0,t,f,t,1,2,4.8,4.6,0.08,Bergamo,0,3,1,0,1,100,100,3580,1600,1832,3,4.9
1519,within an hour,t,0.0,t,t,t,18,168,4.86,4.91,3.28,Bergamo,0,2,1,0,1,100,100,2325,71,263,1,4.885
3,within a few hours,f,3.0,t,t,t,19,292,4.63,4.38,0.18,Bergamo,0,5,1,1,1,100,100,3946,851,1376,7,4.8149999999999995
921,within an hour,t,16.0,t,t,t,28,358,4.84,4.87,2.79,Bergamo,0,8,1,1,1,100,95,3886,78,1255,1,4.9
894,within an hour,f,2.0,t,t,t,0,283,4.75,4.75,0.1,Bergamo,0,7,1,1,1,100,75,1461,246,1294,3,5.0
914,within an hour,f,3.0,t,t,f,0,0,5.0,5.0,0.09,Bergamo,0,6,1,1,1,100,100,2007,844,1074,1,4.0
1279,within an hour,f,10.0,t,t,t,0,213,5.0,4.5,0.16,Bergamo,0,5,1,1,1,100,97,2453,192,791,2,5.0
1379,within a few hours,f,1.0,t,f,t,25,175,5.0,5.0,0.06,Bergamo,0,4,1,0,1,100,100,2392,531,531,1,4.0
280,within an hour,t,1.0,t,t,t,0,332,4.9,4.97,0.94,Bergamo,0,4,1,0,1,100,100,2449,824,2339,2,4.875
1696,within an hour,f,10.0,t,t,t,27,362,4.25,5.0,0.86,Bergamo,0,5,1,1,1,100,97,2453,169,202,2,4.625
1306,within an hour,f,2.0,t,t,t,18,78,5.0,4.29,0.29,Bergamo,0,7,1,1,1,100,80,841,193,789,4,5.0
1102,within an hour,f,1.0,t,t,t,18,47,4.92,4.92,0.72,Bergamo,0,8,1,1,1,100,86,2042,92,1062,2,4.835
714,within an hour,f,1.0,t,t,t,0,0,4.9,4.4,0.21,Bergamo,0,6,1,1,1,100,100,2129,1246,1505,3,4.85
