,Unnamed: 0,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,minimum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,place,south
93895,591,2358492,2012-05-13,"Rome, Lazio, Italy",a few days or more,0%,67%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,2,2.0,2.0,100.0,2.0,100,100.0,100.0,t,0,0,0,82,200,0,0,2012-10-16,2019-09-08,4.58,4.65,4.72,4.64,4.71,4.88,4.65,1.8,Rome,0
36882,12609,5322091,2013-03-04,"Cefalù, Sicilia, Italy",within an hour,100%,99%,f,84.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,40,40,0,0,3,3.0,4.0,1125.0,3.1,1125,1125.0,1125.0,t,0,0,0,173,1,0,0,2017-05-08,2017-05-08,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.02,Sicily,0
103121,10991,23295549,2014-11-03,"Rome, Lazio, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,1,1,0,0,2,2.0,2.0,35.0,2.0,35,35.0,35.0,t,0,0,0,0,30,0,0,2018-01-19,2018-07-27,5.0,5.0,5.0,4.97,5.0,4.63,4.93,0.63,Rome,0
100566,8086,2079032,2012-04-05,"Rome, Lazio, Italy",within a day,95%,50%,t,12.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,13,7,6,0,2,2.0,2.0,30.0,2.0,30,30.0,30.0,t,2,2,2,2,20,7,2,2016-10-16,2021-11-17,4.85,4.85,4.85,4.9,4.95,4.95,4.9,0.32,Rome,0
113489,589,37068113,2015-06-29,IT,within an hour,100%,100%,f,2.0,"['email', 'phone', 'reviews']",t,f,1,0,1,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,12,42,72,347,92,9,0,2015-08-14,2021-09-21,4.58,4.68,4.61,4.78,4.74,4.43,4.6,1.19,Naples,0
46350,24491,216745426,2018-09-22,"Villaggio Mosè, Sicilia, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone']",t,f,3,0,3,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,29,59,89,364,1,0,0,2019-08-21,2019-08-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,Sicily,0
89675,2827,134077593,2017-06-08,"Venice, Veneto, Italy",within an hour,100%,85%,t,6.0,"['email', 'phone', 'reviews']",t,f,5,5,0,0,2,1.0,2.0,30.0,2.0,30,30.0,30.0,t,20,50,80,350,13,2,0,2017-08-08,2021-11-07,4.92,4.92,5.0,5.0,5.0,4.92,4.77,0.24,Venice,0
59663,134,1842487,2012-03-02,"Lecce, Puglia, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'work_email']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,29,59,89,269,3,2,0,2017-08-20,2021-08-21,4.0,4.0,4.0,5.0,4.67,4.33,3.33,0.06,Puglia,0
60021,540,6224432,2013-05-04,"London, England, United Kingdom",within an hour,100%,75%,f,1.0,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id', 'work_email']",t,f,1,1,0,0,4,4.0,4.0,1125.0,4.0,1125,1125.0,1125.0,t,28,58,88,363,11,2,0,2013-08-17,2021-08-20,4.64,4.82,4.82,5.0,4.91,4.82,4.64,0.11,Puglia,0
93744,434,2100864,2012-04-09,"Rome, Lazio, Italy",within an hour,100%,100%,t,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,3,2.0,5.0,120.0,3.2,180,1125.0,1115.9,t,10,27,47,142,162,10,0,2012-10-31,2021-10-17,4.8,4.75,4.74,4.89,4.92,4.97,4.74,1.46,Rome,0
